licence_ref,description,lcensee_name,trading_name,address_1,address_2,address_3,county
1012569,Marked Fuel Trader's Licence                                                                        ,PETS R US SUPERSTORE LTD,PETS R US SUPERSTORE LTD,DRUMLONAGHER,DONEGAL TOWN,NA,CO. DONEGAL
1014057,Marked Fuel Trader's Licence                                                                        ,PETROGAS GROUP LTD,LETTERKENNY SERVICE STATION,DERRY ROAD,LETTERKENNY,NA,CO. DONEGAL
1014906,Marked Fuel Trader's Licence                                                                        ,PETROGAS GROUP LTD,BUNCRANA SERVICE STATION,DERRY ROAD,BUNCRANA,NA,CO. DONEGAL
1015241,Marked Fuel Trader's Licence                                                                        ,PETROGAS GROUP LTD,NA,AGHAFOY,PETTIGO,NA,CO. DONEGAL
1004865,Marked Fuel Trader's Licence                                                                        ,P FERGUSON & SONS LTD,GROVE SERVICE STATION,BRIDGEND,NA,NA,CO. DONEGAL
1004810,Marked Fuel Trader's Licence                                                                        ,OASAM FOODSTORE LTD,KELLYS CENTRA,MOUNTAIN TOP,LETTERKENNY,NA,CO. DONEGAL
1005012,Marked Fuel Trader's Licence                                                                        ,O'GARA'S LTD,O'GARA'S,MAIN STREET,KILCAR,NA,CO. DONEGAL
1005040,Marked Fuel Trader's Licence                                                                        ,MOORES GARAGE (DUNFANAGHY) LTD,MOORES GARAGE (DUNFANAGHY) LTD,KILL,DUNFANAGHY,NA,CO. DONEGAL
1005378,Marked Fuel Trader's Licence                                                                        ,MICHAEL MCINTYRE LTD,MICHAEL MCINTYRE LTD,DOONAN,DONEGAL TOWN,NA,CO. DONEGAL
1005091,Marked Fuel Trader's Licence                                                                        ,MICHAEL BYRNE,CASHEL FILLING STATION,CASHEL,GLENCOLMCILL,NA,CO. DONEGAL
1010899,Marked Fuel Trader's Licence                                                                        ,MCFADDEN'S SERVICE STATION LTD,MCFADDENS SERVICE STATION LTD,BREENAGH PO,LETTERKENNY,NA,CO. DONEGAL
1013477,Marked Fuel Trader's Licence                                                                        ,MCCAULEY'S SHOP LIMITED,MCCAULEY'S SHOP,CLONMANY,LIFFORD,NA,CO. DONEGAL
1004889,Marked Fuel Trader's Licence                                                                        ,MC GONAGLE OIL,MC GONAGLE OIL,TRILLICK,BUNCRANA,NA,CO. DONEGAL
1008091,Marked Fuel Trader's Licence                                                                        ,MC ERLEAN FUELS LTD,NA,KILLEA,NA,NA,CO. DONEGAL
1004640,Marked Fuel Trader's Licence                                                                        ,MC ERLEAN FUELS LTD,MC ERLEAN FUELS,ARDMORE,MUFF,NA,CO. DONEGAL
1003834,Marked Fuel Trader's Licence                                                                        ,MC DEVITT OIL CO LTD,MC DEVITT OIL CO LTD,ANNAGRY,LETTERKENNY,NA,CO. DONEGAL
1005068,Marked Fuel Trader's Licence                                                                        ,MAXI SAVE LTD,BRENDAN'S,DRUNG,QUIGLEY'S POINT,NA,CO. DONEGAL
1004001,Marked Fuel Trader's Licence                                                                        ,MARTIN MOORE,MARTIN MOORE GALA EXPRESS,MAIN STREET (N56),LOUGHANURE,NA,CO. DONEGAL
1006414,Marked Fuel Trader's Licence                                                                        ,MARK CLERKIN & LINDA WALSH,CLERKINS FILLING STATION,MADAVAGH,LETTERMACAWARD,NA,CO. DONEGAL
1003922,Marked Fuel Trader's Licence                                                                        ,MARGADH NA MART TEO,MARGADH NA MART,COTTEEN,DERRYBEG,NA,CO. DONEGAL
1005136,Marked Fuel Trader's Licence                                                                        ,MANUS AND MANUS J SWEENEY,NA,TERMON,LETTERKENNY,NA,CO. DONEGAL
1005415,Marked Fuel Trader's Licence                                                                        ,MALACHY O'DOHERTY,NA,DOAGHBEG,PORTSALON,LETTERKENNY,CO. DONEGAL
1004448,Marked Fuel Trader's Licence                                                                        ,LOUGHRAN SERVICE STATION LTD,BORDERVIEW SERVICE STATION LTD,ALT UPPER,CASTLE FIN,NA,CO. DONEGAL
1011437,Marked Fuel Trader's Licence                                                                        ,LOUCON LIMITED,MCGETTIGANS APPLEGREEN LIFFORD,THE COMMONS,LIFFORD,NA,CO. DONEGAL
1004957,Marked Fuel Trader's Licence                                                                        ,LAURENCE CAVANAGH,CAVANAGH'S FUEL STATION,DRUMAWEIR,GREENCASTLE,NA,CO. DONEGAL
1014424,Marked Fuel Trader's Licence                                                                        ,LAGGAN RETAIL LIMITED,BROWNE'S GALA,MAIN STREET,MANORCUNNINGHAM,NA,CO. DONEGAL
1004862,Marked Fuel Trader's Licence                                                                        ,L.A.B.S. OIL LTD,L.A.B.S. FUELS,MILTOWN,MALIN ROAD,CARNDONAGH,CO. DONEGAL
1007901,Marked Fuel Trader's Licence                                                                        ,L.A.B.S OIL,T/A L.A.B.S. FUELS,MART PLACE,CARNDONAGH,NA,CO. DONEGAL
1014402,Marked Fuel Trader's Licence                                                                        ,KOLEY LIMITED,NA,DRUMLONAGHER,DONEGAL TOWN,NA,CO. DONEGAL
1012766,Marked Fuel Trader's Licence                                                                        ,KIERAN ROARTY LIMITED,KIERAN ROARTY LIMITED,MONEY MORE,DUNLEWEY,NA,CO. DONEGAL
1005251,Marked Fuel Trader's Licence                                                                        ,KERNANS CAFES LTD,KERNAN SPAR / MOOREFIELD SERVICE STATION,MOOREFIELD,RAMELTON,NA,CO. DONEGAL
1004445,Marked Fuel Trader's Licence                                                                        ,KASMOR LIMITED,DRY ARCH COMPLEX,BONAGEE,DERRY ROAD,LETTERKENNY,CO. DONEGAL
1004520,Marked Fuel Trader's Licence                                                                        ,JOSEPH RAFFERTY OIL LIMITED,JOSEPH RAFFERTY OIL LTD,BUNN AMAYNE,BRIDGEND,NA,CO. DONEGAL
1003948,Marked Fuel Trader's Licence                                                                        ,JONES OIL LTD,JONES OIL LTD,PORT ROAD,LETTERKENNY,NA,CO. DONEGAL
1004863,Marked Fuel Trader's Licence                                                                        ,JOHN CALLASHAN (BURT) LTD,NA,MONESS,BURT,NA,CO. DONEGAL
1005166,Marked Fuel Trader's Licence                                                                        ,JAMES STINSON,STINSON FUELS,BALLYMAGROARTY,BALLINTRA,NA,CO. DONEGAL
1007740,Marked Fuel Trader's Licence                                                                        ,ISCOURT LTD,ISCOURT LTD,DERRYBEG,GWEEDORE,NA,CO. DONEGAL
1004153,Marked Fuel Trader's Licence                                                                        ,ISCOURT LTD,CASTLEFINN SERVICE STATION,SANDY ROW,CASTLEFINN,NA,CO. DONEGAL
1010970,Marked Fuel Trader's Licence                                                                        ,ISCOURT LTD,BURNTONPORT SERVICE STATION,CROSSROADS,BURTONPORT,NA,CO. DONEGAL
1004152,Marked Fuel Trader's Licence                                                                        ,ISCOURT LTD,FALCARRAGH SERVICE STATION,MAIN STREET,FALCARRAGH,NA,CO. DONEGAL
1011176,Marked Fuel Trader's Licence                                                                        ,ISCOURT LTD,CARRIGART SERVICE STATION,CHURCH ROAD,CARRIGART,NA,CO. DONEGAL
1012173,Marked Fuel Trader's Licence                                                                        ,INISHOWEN PETROLEUM LIMITED,INISHOWEN PETROLEUM LIMITED,MILLBRAE,CARNDONAGH,NA,CO. DONEGAL
1004303,Marked Fuel Trader's Licence                                                                        ,INISHOWEN OIL CO LTD,INISHOWEN OIL CO LTD,MILLBRAE,CARNDONAGH,NA,CO. DONEGAL
1012560,Marked Fuel Trader's Licence                                                                        ,INISHOWEN CO OP SOCIETY LTD,INISHOWEN CO OP SOCIETY LTD,MOVILLE ROAD,CARNADONAGH,NA,CO. DONEGAL
1015447,Marked Fuel Trader's Licence                                                                        ,INDV VENTURES LIMITED,INDV VENTURES LIMITED,CILL AN OIR,KILLYCLUG,LETTERKENNY,CO. DONEGAL
1006333,Marked Fuel Trader's Licence                                                                        ,IAN MCFADDEN,JJ MCFADDEN FUELS,NEWTOWN,FALCARRAGH,NA,CO. DONEGAL
1004577,Marked Fuel Trader's Licence                                                                        ,I MOLONEY & SONS LTD,BALLYSHANNON SERVICE STATION,ASSAROE ROAD,BALLYSHANNON,NA,CO. DONEGAL
1005127,Marked Fuel Trader's Licence                                                                        ,HOLMES SERVICE STATION LTD,HOLMES SERVICE STATION LTD,KILLYBEGS ROAD,DONEGAL TOWN,NA,CO. DONEGAL
1011674,Marked Fuel Trader's Licence                                                                        ,HARKINS FORECOURT SHOP (ST JOHNSTON) LIMITED,HARKIN'S ST. JOHNSTON,DERRY ROAD,ST. JOHNSTON,NA,CO. DONEGAL
1008226,Marked Fuel Trader's Licence                                                                        ,GREENCASTLE SEA PRODUCTS LTD,GREENCASTLE FISH EXPORTS,QUEEN'S PORT PIER,GREENCASTLE,NA,CO. DONEGAL
1004796,Marked Fuel Trader's Licence                                                                        ,GRACIES STORES LIMITED,GRACIES STORES,DRUMBRICK,TERMON,LETTERKENNY,CO. DONEGAL
1004811,Marked Fuel Trader's Licence                                                                        ,GLENCAR SHOPPING CENTRE LIMITED,GLENCAR SERVICE STATION,CIRCULAR ROAD,LETTERKENNY,NA,CO. DONEGAL
1005163,Marked Fuel Trader's Licence                                                                        ,GEORGE SWEENEY LTD,SWEENEY'S SPAR EXPRESS,BALLYRAINE,LETTERKENNY,NA,CO. DONEGAL
1004487,Marked Fuel Trader's Licence                                                                        ,GALLEN FUELS LIMITED,GALLEN FUELS LTD,CLOUGHFIN,CASTLEFIN,LIFFORD,CO. DONEGAL
1004730,Marked Fuel Trader's Licence                                                                        ,GALLAGHERS GARAGE LTD,NA,DONEGAL ROD,BALLYBOFEY,NA,CO. DONEGAL
1013719,Marked Fuel Trader's Licence                                                                        ,EMO OIL LTD,GREAT GAS EXPRESS LETTERKENNY,BALLYRAINE,LETTERKENNY,NA,CO. DONEGAL
1013112,Marked Fuel Trader's Licence                                                                        ,ELAINE WARD,THE MILLTOWN BAR,MULLINBUOYS,INVER,NA,CO. DONEGAL
1005164,Marked Fuel Trader's Licence                                                                        ,E & J OIL SERVICES LTD,NA,BALLYMAGROARTY,BALLINTRA,NA,CO. DONEGAL
1008515,Marked Fuel Trader's Licence                                                                        ,DUNGLOE SERVICE STATION LIMITED,DUNGLOE SERVICE STATION LIMITED,MILL ROAD,DUNGLOE,NA,CO. DONEGAL
1004596,Marked Fuel Trader's Licence                                                                        ,DONEGAL OIL COMPANY LIMITED,DONEGAL OIL COMPANY LIMITED,SHORE ROAD,KILLYBEGS,NA,CO. DONEGAL
1004522,Marked Fuel Trader's Licence                                                                        ,DONEGAL OIL COMPANY LIMITED,DONEGAL OIL COMPANY LIMITED,KILLULT,FALCARRAGH,NA,CO. DONEGAL
1004555,Marked Fuel Trader's Licence                                                                        ,DONEGAL OIL COMPANY LIMITED,NA,THE PIER,DOWNINGS,NA,CO. DONEGAL
1004551,Marked Fuel Trader's Licence                                                                        ,DONEGAL OIL COMPANY LIMITED,NA,PORT ROAD,LETTERKENNY,NA,CO. DONEGAL
1010466,Marked Fuel Trader's Licence                                                                        ,DONEGAL OIL CO LTD,NA,MILLBRIDGE,KILMACRENNAN,NA,CO. DONEGAL
1004890,Marked Fuel Trader's Licence                                                                        ,DONAGH TRADER'S LTD,CANNY & DOHERTY'S CENTRA SUPERMARKET & TOPAZ FORECOURT,DERRY ROAD,MOVILLE,NA,CO. DONEGAL
1004891,Marked Fuel Trader's Licence                                                                        ,DALY BROS RETAIL LTD,DALYS TOPAZ,LETTERKENNY ROAD,LIFFORD,NA,CO. DONEGAL
1012967,Marked Fuel Trader's Licence                                                                        ,DALY BROS (RETAIL) LTD,DALYS SERVICE STATION,TOWNPARKS,CONEYBURROW RD,LIFFORD,CO. DONEGAL
1004789,Marked Fuel Trader's Licence                                                                        ,CULLENS COCKHILL LTD,CULLENS COCKHILL LIMITED,COCKHILL ROAD,BUNCRANA,NA,CO. DONEGAL
1004975,Marked Fuel Trader's Licence                                                                        ,COYLES OF RAPHOE LTD,COYLE'S CENTRA RAPHOE,THE DIAMOND,RAPHOE,NA,CO. DONEGAL
1004768,Marked Fuel Trader's Licence                                                                        ,COYLE FUELS LIMITED,COYLE FUELS LTD,AGHILLY,BUNCRANA,NA,CO. DONEGAL
1007537,Marked Fuel Trader's Licence                                                                        ,COSYHOME FUELS LIMITED,NA,STATION ROAD,MOUNTCHARLES,NA,CO. DONEGAL
1005554,Marked Fuel Trader's Licence                                                                        ,CORNELIUS GILL,GILLS SHOP,MINALUBIN,LINSFORT,BUNCRANA,CO. DONEGAL
1006193,Marked Fuel Trader's Licence                                                                        ,CONVIS ENTERPRISES LTD,SPRINGTOWN FUELS,GROVE HOUSE,BUNNAMAYNE,BRIDGEND,CO. DONEGAL
1005977,Marked Fuel Trader's Licence                                                                        ,COMHARCHUMANN OILEÁN ÁRAINN MHÓR TEO,COMHARCHUMANN OILEÁN ÁRAINN MHÓR TEO,CLOCH CORR,ARRANMORE ISLAND,LETTERKENNY,CO. DONEGAL
1011662,Marked Fuel Trader's Licence                                                                        ,COLIN MAGUIRE,MR OILMAN,CORNHILL BUSINESS PARK,BALLYSHANNON,NA,CO. DONEGAL
1008713,Marked Fuel Trader's Licence                                                                        ,CLUB MD LIMITED,BLANEY STORES,LAGG,MILFORD,NA,CO. DONEGAL
1008827,Marked Fuel Trader's Licence                                                                        ,CLONLEIGH CO-OP AGRIC SOCY LTD,CLONLEIGH CO-OP AGRIC SOCY LTD,CASTLEFINN,NA,NA,CO. DONEGAL
1005021,Marked Fuel Trader's Licence                                                                        ,CLEARY BROTHERS,ABBEY GARAGE,DONEGAL ROAD,BALLYSHANNON,NA,CO. DONEGAL
1004932,Marked Fuel Trader's Licence                                                                        ,CLARKE OIL DONEGAL LTD,CLARKE OIL DONEGAL LTD,MEENAGOREY,BUNCRANA,NA,CO. DONEGAL
1006595,Marked Fuel Trader's Licence                                                                        ,CHERRYCLIFF LTD,LAFFERTY'S,BUNN,CULKENNY,MALIN,CO. DONEGAL
1009563,Marked Fuel Trader's Licence                                                                        ,CHARLIE SHARKEY LIMITED,MACE OFF LICENCE AND BARGAIN ALLEY,MAIN STREET,DYNGLOE,NA,CO. DONEGAL
1004257,Marked Fuel Trader's Licence                                                                        ,CHARLES KELLY PROPERTIES LTD,KELLYS SERVICE STATION,MILLBRAG,CARNDONAGH,NA,CO. DONEGAL
1008939,Marked Fuel Trader's Licence                                                                        ,CERVUS LIMITED,NA,MAIN STREET,MUFF,NA,CO. DONEGAL
1005156,Marked Fuel Trader's Licence                                                                        ,CARRCHIOS DHUN NA NGALL TEO,O'DONNELLS FUELS,CROLLY,LETTERKENNY,NA,CO. DONEGAL
1014351,Marked Fuel Trader's Licence                                                                        ,CALLAGHAN'S MOTORWAY SERVICES LIMITED,CALLAGHAN'S MOTORWAY SERVICES LIMITED,BOHILLION,SPEENOGUE PO,BURT,CO. DONEGAL
1007515,Marked Fuel Trader's Licence                                                                        ,BURNFOOT SERVICE STATION LIMITED,BURNFOOT SERVICE STATION LIMITED,GRIANAN VALE,BURNFOOT,NA,CO. DONEGAL
1005106,Marked Fuel Trader's Licence                                                                        ,BRADLEY'S (SERVICE STATION) LTD,NA,GORT,FAHAN,NA,CO. DONEGAL
1005111,Marked Fuel Trader's Licence                                                                        ,BLACKSMITH ENTERPRISES LIMITED,DONAGHYS SERVICE STATION,KILDERRY,MUFF,NA,CO. DONEGAL
1014803,Marked Fuel Trader's Licence                                                                        ,BELGAS LTD,BELGAS LTD,DUNGLOE BUSINESS PARK,GWEEDORE ROAD,DUNGLOE,CO. DONEGAL
1014802,Marked Fuel Trader's Licence                                                                        ,BELGAS LTD,BELGAS LTD,DRUNBOLLOGUE,CHURCHILL,LETTERKENNY,CO. DONEGAL
1009010,Marked Fuel Trader's Licence                                                                        ,BELGAS LTD,BELGAS LTD,UNIT 6 LARKINS RETAIL PARK,PEARSE ROAD,LETTERKENNY,CO. DONEGAL
1004950,Marked Fuel Trader's Licence                                                                        ,BARRY GALLAGHER,BARRY'S OF BRUCKLESS.,BRUCKLESS,NA,NA,CO. DONEGAL
1014917,Marked Fuel Trader's Licence                                                                        ,BARRY FUELS LIMITED,NA,FALCARRAGH,NA,NA,CO. DONEGAL
1007934,Marked Fuel Trader's Licence                                                                        ,BARRY FUELS LIMITED,BARRY FUELS LIMITED,MILK ISLE,BONAGEE,LETTERKENNY,CO. DONEGAL
1014274,Marked Fuel Trader's Licence                                                                        ,BALLYSHANNON RETAIL LTD,KIERNANS BUNDORAN,EAST END,BUNDORAN,NA,CO. DONEGAL
1010641,Marked Fuel Trader's Licence                                                                        ,BALLYSHANNON RETAIL LTD,NA,TULLYGAY,NEWMILLS,LETTERKENNY,CO. DONEGAL
1011548,Marked Fuel Trader's Licence                                                                        ,BALLYLIFFIN SERVICE STATION LIMITED,NA,ANNAUGH,CLONMANY,NA,CO. DONEGAL
1012864,Marked Fuel Trader's Licence                                                                        ,BALLYCARN RETAIL LIMITED,NA,BALLYMACARRY,LOWER BUNCRANA,NA,CO. DONEGAL
1005097,Marked Fuel Trader's Licence                                                                        ,AUSTIN DALY & SON LTD,DALY'S SUPERMARKET (MACE),MAIN STREET,LIFFORD,NA,CO. DONEGAL
1005161,Marked Fuel Trader's Licence                                                                        ,ARDARA FILLING STATION LTD,DARNELL'S GALA,PORTNOO ROAD,ARDARA,NA,CO. DONEGAL
1006466,Marked Fuel Trader's Licence                                                                        ,ANTHONY GILLEN & CIARAN GILLEN,GILLEN FUELS,UNIT 7,CCCP COMPLEX,CARRIGANS,CO. DONEGAL
1015540,Marked Fuel Trader's Licence                                                                        ,AMAMT LIMITED,MCDEVITT CAR SALES LIMITED,ANNAGRY,LETTERKENNY,NA,CO. DONEGAL
1009119,Marked Fuel Trader's Licence                                                                        ,ALTEZ LTD,NA,KILLYBEGS ROAD,ARDARA,NA,CO. DONEGAL
1003718,Marked Fuel Trader's Licence                                                                        ,A & N FUELS LTD,A & N FUELSLTD,AGHILLY,BUNCRANA,NA,CO. DONEGAL
1007868,Marked Fuel Trader's Licence                                                                        ,VALERO MARKETING IRELAND LTD,VALERO MARKETING IRELAND LTD,"1ST FLOOR, BLOCK B",LIFFEY VALLEY OFFICE CAMPUS,QUARRYVALE,CO. DUBLIN
1005960,Marked Fuel Trader's Licence                                                                        ,VALERO ENERGY IRELAND LIMITED,VALERO ENERGY IRELAND LIMITED,"1ST FLOOR, BLOCK B","LIFFEY VALLEY, OFFICE CAMPUS",QUARRYVALE,CO. DUBLIN
1009839,Marked Fuel Trader's Licence                                                                        ,TOPAZ ENERGY LIMITED,NA,HANNON TRANSPORT DEPOT,COLD WINTERS BLAKES CROSS,LUSK,CO. DUBLIN
1005579,Marked Fuel Trader's Licence                                                                        ,THOMAS HOWARD,NA,61 RATHBEALE ROAD,SWORDS,NA,CO. DUBLIN
1005511,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP COLLINSTOWN,COLLINSTOWN BUSINESS PARK,OLD AIRPORT ROAD,CLOGHRAN,CO. DUBLIN
1005010,Marked Fuel Trader's Licence                                                                        ,TEDCASTLE OIL PRODUCTS,TOP LUSK NORTHBOUND,M1 NORTHBOUND,LUSK,NA,CO. DUBLIN
1005009,Marked Fuel Trader's Licence                                                                        ,TEDCASTLE OIL PRODUCTS,TOP LUSK SOUTHBOUND,M1 SOUTHBOUND,LUSK,NA,CO. DUBLIN
1008029,Marked Fuel Trader's Licence                                                                        ,SUMMERHILL COMMERCIALS REPAIR CNTR LTD,M 50 G S E,MD 1987,"GARAGE BUILDING,",DUBLIN AIRPORT,CO. DUBLIN
1006849,Marked Fuel Trader's Licence                                                                        ,RUSH OIL SERVICE STATION LIMITED,RUSH OIL SERVICE STATION,MAIN STREET,RUSH,NA,CO. DUBLIN
1007931,Marked Fuel Trader's Licence                                                                        ,RUSH FUEL SERVICES LIMITED,RUSH FUEL SERVICES LIMITED,WHITESTOWN ROAD,RUSH,NA,CO. DUBLIN
1005469,Marked Fuel Trader's Licence                                                                        ,RICHARD FOX,DUBLIN OIL COMPANY,15 SEABURY CRESCENT,MALAHIDE,NA,CO. DUBLIN
1013599,Marked Fuel Trader's Licence                                                                        ,PETROGAS GROUP LTD,APPLEGREEN - JOINT FUELS TERMINAL,JOINT FUELS TERMINAL,ALEXANDRA ROAD,DUBLIN PORT,CO. DUBLIN
1009171,Marked Fuel Trader's Licence                                                                        ,PETROGAS GROUP LTD,APPLEGREEN M1 BALBRIGGAN,ROWANS ROAD,COURTLOUGH,BALBRIGGAN,CO. DUBLIN
1005194,Marked Fuel Trader's Licence                                                                        ,PAUL LYNAM,LYNAM OIL,CLONEE ROAD,LUCAN,NA,CO. DUBLIN
1003756,Marked Fuel Trader's Licence                                                                        ,NORTH CITY OIL CO LTD,NORTH CITY OIL,11 ARDEEVIN COURT,LUCAN,NA,CO. DUBLIN
1004305,Marked Fuel Trader's Licence                                                                        ,MPM OIL LIMITED,EURO OIL,2 CLIFFLANDS COURT,RUSH,NA,CO. DUBLIN
1013750,Marked Fuel Trader's Licence                                                                        ,MAXOL LTD,MAXOL LTD,MAXOL SERVICE STATION,TURVEY,DONABATE,CO. DUBLIN
1005343,Marked Fuel Trader's Licence                                                                        ,MARINA MARKETING & MANAGEMENT LTD,DUN LAOGHAIRE MARINA,HARBOUR ROAD,DUN LAOGHAIRE,NA,CO. DUBLIN
1004775,Marked Fuel Trader's Licence                                                                        ,MALAHIDE MARINA VILLAGE LTD,MALAHIDE MARINA,MARINA CENTRE,MALAHIDE,NA,CO. DUBLIN
1004664,Marked Fuel Trader's Licence                                                                        ,LEO MC CABE,MC CABE'S OIL,36 TUBBERMORE ROAD,DALKEY,NA,CO. DUBLIN
1004219,Marked Fuel Trader's Licence                                                                        ,J H MCLOUGHLIN (BALBRIGGAN) LTD,J H MCLOUGHLIN (BALBRIGGAN) LTD,84 DROGHEDA STREET,BALBRIGGAN,NA,CO. DUBLIN
1005201,Marked Fuel Trader's Licence                                                                        ,HOWTH YACHT CLUB,NA,HOWTH YACHT CLUB,HARBOUR ROAD,HOWTH,CO. DUBLIN
1015188,Marked Fuel Trader's Licence                                                                        ,EMO OIL LTD,NA,UNIT 12 CRAG AVENUE,CLONDALKIN INDUSTRIAL ESTATE,DUBLIN 22,CO. DUBLIN
1009473,Marked Fuel Trader's Licence                                                                        ,EMO OIL LTD,EMO OIL LTD,BALLYMOUNT ROAD UPPER,BALLYMOUNT,NA,CO. DUBLIN
1005128,Marked Fuel Trader's Licence                                                                        ,EMO OIL LIMITED,EMO SUPERFUEL CARD SITE,GREENOGUE BUSINESS PARK,RATHCOOLE,NA,CO. DUBLIN
1008998,Marked Fuel Trader's Licence                                                                        ,DUNBOYNE OIL CO LTD,DUNBOYNE OIL COMPANY LTD,LARAGHCON,LUCAN,NA,CO. DUBLIN
1008707,Marked Fuel Trader's Licence                                                                        ,CLAREMONT ENTERPRISES LTD,CLAREMONT FILLING STATION,COOLQUAY,THE WARD,NA,CO. DUBLIN
1004779,Marked Fuel Trader's Licence                                                                        ,CAMPUS OIL LTD,CAMPUS OIL LTD,MINE HILL LANE,BALLYCORUS ROAD,KILTERNAN,CO. DUBLIN
1004574,Marked Fuel Trader's Licence                                                                        ,BUTTERLY FUELS LTD,BUTTERLY FUELS LTD,KENURE DEMESNE,RUSH,NA,CO. DUBLIN
1014575,Marked Fuel Trader's Licence                                                                        ,ASGARD TRADING LIMITED,BARRETT FUELS,9 ASGARD PARK,HOWTH,NA,CO. DUBLIN
1005217,Marked Fuel Trader's Licence                                                                        ,XYZ RETAIL LTD,XYZ RETAIL LTD,HEADFORD POINT,HEADFORD ROAD,NA,CO. GALWAY
1006471,Marked Fuel Trader's Licence                                                                        ,WILLOW ROCK LTD,MCCORMACK FUELS,TUAM ROAD,MOUNTBELLOW,NA,CO. GALWAY
1006023,Marked Fuel Trader's Licence                                                                        ,WILLIAM PARKER,WILLIAM PARKER,ALLOON,BALLYMACWAN,BALLINASLOE,CO. GALWAY
1006070,Marked Fuel Trader's Licence                                                                        ,WILLIAM LOUGHNANE,LOUGHNANES OF TURLOUGHMORE,BALLYGLASS,TURLOUGHMORE,NA,CO. GALWAY
1009687,Marked Fuel Trader's Licence                                                                        ,WILD ATLANTIC WAY FUEL SERVICES LTD,WILD ATLANTIC WAY FUEL SERVICES LTD,BALLYBRANIGAN,KINVARA,NA,CO. GALWAY
1007858,Marked Fuel Trader's Licence                                                                        ,VALERO MARKETING IRELAND LTD,VALERO MARKETING IRELAND LTD,CONNOLLY OIL,BALLYGLUNNIN,TUAM,CO. GALWAY
1005113,Marked Fuel Trader's Licence                                                                        ,VAL CLARKE,TI CLARKE ROS MUC,ROS MUC,CONNEMARA,NA,CO. GALWAY
1006334,Marked Fuel Trader's Licence                                                                        ,TOM MCHUGH,TOM MCHUGH,KILTEVNA,DUNMORE,NA,CO. GALWAY
1009678,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP OIL,CARNMORE CROSS,CARNMORE,NA,CO. GALWAY
1006355,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP OIL GALWAY TYNAGH,BAILINSMAUL,TYNAGH,NA,CO. GALWAY
1008741,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP OIL,CORRIDALE SERVICE STATION,OUGHTERARD,NA,CO. GALWAY
1008629,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP OIL,TUAM ROAD,NA,NA,CO. GALWAY
1006351,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP OIL - N17,ROUTE 17 TRUCKSTOP,GALWAY ROAD,TUAM,CO. GALWAY
1006533,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP OIL - CORNAMONA,CDS TEORANTA,CORNAMONA,NA,CO. GALWAY
1006354,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP GALWAY OIL,ORANMORE,NA,NA,CO. GALWAY
1004988,Marked Fuel Trader's Licence                                                                        ,TEDCASTLE OIL PRODUCTS,T/A TOP OIL,GALWAY ROAD,CLIFDEN,NA,CO. GALWAY
1014353,Marked Fuel Trader's Licence                                                                        ,TANWAR RETAIL LIMITED,AMARILLO STORES,CARROWPETER,DUBLIN ROAD,TUAM,CO. GALWAY
1005215,Marked Fuel Trader's Licence                                                                        ,SWEENEY OIL SERVICE STATION LTD,SWEENEY OIL SERVICE STATIONS,DANESFIELD,MOYCULLEN,NA,CO. GALWAY
1005214,Marked Fuel Trader's Licence                                                                        ,SWEENEY OIL (RETAIL) LTD,SWEENEY OIL (RETAIL) LTD,GALWAY ROAD,CLIFDEN,NA,CO. GALWAY
1004915,Marked Fuel Trader's Licence                                                                        ,STAISIUN SEIRBHISE BHREATNACH TEO,STAISIUN SEIRBHISE BHREATNACH TEO,COSTELLOE,NA,NA,CO. GALWAY
1011418,Marked Fuel Trader's Licence                                                                        ,SPIDDAL SERVICE STATION LIMITED,NA,SPIDDAL,NA,NA,CO. GALWAY
1004077,Marked Fuel Trader's Licence                                                                        ,SMYTH GREEN PROPERTIES LTD,SMYTH SERVICE STATION,WILLIAMSTOWN,NA,NA,CO. GALWAY
1012747,Marked Fuel Trader's Licence                                                                        ,SIRIO RETAIL OPERATIONS LIMITED,TOP OIL SERVICE STATION,CLIFDEN ROAD,MOYCULLEN,NA,CO. GALWAY
1012752,Marked Fuel Trader's Licence                                                                        ,SIRIO RETAIL OPERATIONS LIMITED,TOP OIL SERVICE STATION,TUAM ROAD,NA,NA,CO. GALWAY
1004426,Marked Fuel Trader's Licence                                                                        ,SHUTTINGTON HOLDINGS LTD,SPAR EXPRESS CORRIB OIL LOUGHREA,CAMP HILL,LOUGHREA,NA,CO. GALWAY
1004432,Marked Fuel Trader's Licence                                                                        ,SHUTTINGTON HOLDINGS LTD,SPARK EXPRESS CORRIB OIL BALLINASLOE,BRACKERNAGH,BALLINASLOE,NA,CO. GALWAY
